image,ranking,rating,season,title
,#60,8.63,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Summer 2018'>]",Shingeki no Kyojin Season 3
,#57,8.65,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Spring 2007'>]",Tengen Toppa Gurren Lagann
,#59,8.64,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Spring 2017'>]",Natsume Yuujinchou Roku
,#61,8.63,,Suzumiya Haruhi no Shoushitsu
,#58,8.65,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Winter 2018'>]",Violet Evergarden
,#62,8.63,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Fall 2006'>]",Death Note
,#52,8.67,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Spring 2020'>]",Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen
,#63,8.62,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Spring 2014'>]",Ping Pong the Animation
,#56,8.65,,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai
,#54,8.66,,Howl no Ugoku Shiro
,#51,8.67,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Fall 2015'>]",Haikyuu!! Second Season
,#55,8.66,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Winter 2012'>]",Natsume Yuujinchou Shi
,#150,8.41,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Fall 2016'>]",3-gatsu no Lion
,#53,8.66,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Winter 2009'>]",Hajime no Ippo: New Challenger
,#49,8.68,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Fall 2005'>]",Mushishi
,#120,8.48,,Holo no Graffiti
,#119,8.48,,Zoku Owarimonogatari
,#48,8.69,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Fall 2014'>]",Shigatsu wa Kimi no Uso
,#46,8.69,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Summer 1999'>]",Great Teacher Onizuka
,#45,8.70,,Made in Abyss Movie 3: Fukaki Tamashii no Reimei
,#50,8.68,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Fall 1980'>]",Ashita no Joe 2
,#42,8.71,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Spring 2014'>]",Mushishi Zoku Shou
,#47,8.69,,Mononoke Hime
,#43,8.71,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Fall 2006'>]",Code Geass: Hangyaku no Lelouch
,#38,8.74,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Fall 2020'>]",Jujutsu Kaisen (TV)
,#40,8.72,,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
,#44,8.70,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Summer 2017'>]",Made in Abyss
,#36,8.74,,Evangelion: 3.0+1.0 Thrice Upon a Time
,#41,8.72,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Summer 2019'>]",Vinland Saga
,#39,8.73,,Kimetsu no Yaiba Movie: Mugen Ressha-hen
,#34,8.76,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Winter 2017'>]",Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen
,#33,8.76,,Fate/stay night Movie: Heaven's Feel - III. Spring Song
,#37,8.74,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Fall 2000'>]",Hajime no Ippo
,#30,8.80,,Sen to Chihiro no Kamikakushi
,#35,8.75,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Fall 2014'>]",Mushishi Zoku Shou 2nd Season
,#28,8.80,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Spring 2004'>]",Monster
,#27,8.81,,Kizumonogatari III: Reiketsu-hen
,#32,8.77,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Spring 1998'>]",Cowboy Bebop
,#23,8.87,,Violet Evergarden Movie
,#31,8.78,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Summer 2013'>]",Monogatari Series: Second Season
,#29,8.80,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Spring 2021'>]",Odd Taxi
,#21,8.89,,Shiguang Dailiren
,#24,8.82,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Winter 2018'>]",Gintama.: Shirogane no Tamashii-hen
,#26,8.81,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Fall 2016'>]",Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
,#25,8.82,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Winter 2019'>]",Mob Psycho 100 II
,#18,8.91,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Summer 2017'>]",Owarimonogatari 2nd Season
,#19,8.91,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Spring 2008'>]",Code Geass: Hangyaku no Lelouch R2
,#22,8.88,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Summer 2018'>]",Gintama.: Shirogane no Tamashii-hen - Kouhan-sen
,#20,8.90,,Kimi no Na wa.
,#17,8.93,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Winter 2021'>]",Shingeki no Kyojin: The Final Season
,#16,8.94,,Gintama: The Final
,#15,8.94,,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare
,#14,8.95,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Spring 2006'>]",Gintama
,#13,8.95,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Fall 2008'>]",Clannad: After Story
,#11,8.98,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Winter 2017'>]",Gintama.
,#10,8.98,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Fall 2017'>]",3-gatsu no Lion 2nd Season
,#6,9.06,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Spring 2011'>]",Gintama'
,#7,9.06,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Fall 2011'>]",Hunter x Hunter (2011)
,#12,8.97,,Koe no Katachi
,#9,9.04,"[<Selector xpath='//span[@class=""information season""]/a/text()' data='Fall 2012'>]",Gintama': Enchousen
