image_urls,images,misc,ranking,rating,season,title
https://cdn.myanimelist.net/images/anime/6/75172.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/6/75172.jpg', 'path': 'full/246ef901617fdb5457d11f0405b6d65ad55d9764.jpg', 'checksum': 'b89b93558e3328ca5d98a1282013d6e8', 'status': 'downloaded'}]",Action;Comedy;Historical;Parody;Samurai;Sci-Fi;Shounen,#9,9.04,Fall 2012,Gintama': Enchousen
https://cdn.myanimelist.net/images/anime/3/88469.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/3/88469.jpg', 'path': 'full/c3d1e302ca9577ed387ff1b02ac038a503cba7de.jpg', 'checksum': '3bc0d72a0839a51ed1b6719cd64b147e', 'status': 'downloaded'}]",Drama;Game;Seinen;Slice of Life,#10,8.98,Fall 2017,3-gatsu no Lion 2nd Season
https://cdn.myanimelist.net/images/anime/1223/96541.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1223/96541.jpg', 'path': 'full/dae7d49ab5c634e4c6fef8d0191258c395f69ec3.jpg', 'checksum': '1505dc0c38e76357f9c8fbbaa20269d4', 'status': 'downloaded'}]",Action;Military;Adventure;Comedy;Drama;Magic;Fantasy;Shounen,#1,9.16,Spring 2009,Fullmetal Alchemist: Brotherhood
https://cdn.myanimelist.net/images/anime/3/72078.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/3/72078.jpg', 'path': 'full/a79f77d571fc8faff695c35f0615e4c7605f7fb6.jpg', 'checksum': '43beed15b8e7ea452db5097f7fc67663', 'status': 'downloaded'}]",Action;Comedy;Historical;Parody;Samurai;Sci-Fi;Shounen,#4,9.09,Spring 2015,Gintama°
https://cdn.myanimelist.net/images/anime/13/13225.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/13/13225.jpg', 'path': 'full/e93eb97665a88dcc1436b43f33c2b024c249e95f.jpg', 'checksum': '8d746108b0ed4d1c1717f66bb0de5e3f', 'status': 'downloaded'}]",Military;Sci-Fi;Space;Drama,#8,9.05,,Ginga Eiyuu Densetsu
https://cdn.myanimelist.net/images/anime/3/83528.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/3/83528.jpg', 'path': 'full/9c1a6211616ad011752d7247a64fa0643f4ee6aa.jpg', 'checksum': '29aa3f42e2b63aefc175a30f1dca7179', 'status': 'downloaded'}]",Action;Comedy;Historical;Parody;Samurai;Sci-Fi;Shounen,#11,8.98,Winter 2017,Gintama.
https://cdn.myanimelist.net/images/anime/1122/96435.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1122/96435.jpg', 'path': 'full/0f63f232a741652dcfb96424e9a1e791d5a2276b.jpg', 'checksum': '09ba38a119f825ce00a27efe93d5c321', 'status': 'downloaded'}]",Drama;School;Shounen,#12,8.97,,Koe no Katachi
https://cdn.myanimelist.net/images/anime/11/33657.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/11/33657.jpg', 'path': 'full/9c4ce5740af619760a077e5c6e6b442e4a2d8edd.jpg', 'checksum': 'ba847d0fff6b00578c1edfb4eae0fab7', 'status': 'downloaded'}]",Action;Adventure;Fantasy;Shounen;Super Power,#7,9.06,Fall 2011,Hunter x Hunter (2011)
https://cdn.myanimelist.net/images/anime/4/50361.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/4/50361.jpg', 'path': 'full/39faf037d909f1bab8fe49335c15aa68eaef9eb8.jpg', 'checksum': '3eb14d846099ab2f58118343c6c0d8d7', 'status': 'downloaded'}]",Action;Sci-Fi;Comedy;Historical;Parody;Samurai;Shounen,#6,9.06,Spring 2011,Gintama'
https://cdn.myanimelist.net/images/anime/1085/114792.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1085/114792.jpg', 'path': 'full/e5f84f14e216f5275d8669a43761dcda4f91a03e.jpg', 'checksum': 'ca5ee3f990f0d9cae18ec5bfed59eea8', 'status': 'downloaded'}]",Slice of Life;Comedy;Supernatural;Drama;Romance;Shoujo,#5,9.08,Spring 2021,Fruits Basket: The Final
https://cdn.myanimelist.net/images/anime/3/45028.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/3/45028.jpg', 'path': 'full/f60e47beb5ee90613ac5b64671467cfce8ae4c24.jpg', 'checksum': '68c1c3ef9dff15ca1f3cefced6060349', 'status': 'downloaded'}]",Action;Drama;Shounen;Slice of Life;Sports,#50,8.68,Fall 1980,Ashita no Joe 2
https://cdn.myanimelist.net/images/anime/5/73199.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/5/73199.jpg', 'path': 'full/204f946623b9c2bff1c7d66bdec8b67f8258d859.jpg', 'checksum': '0f65b7b3343d6dda8407ae83e4d9032c', 'status': 'downloaded'}]",Sci-Fi;Psychological;Drama;Thriller,#3,9.10,Spring 2011,Steins;Gate
https://cdn.myanimelist.net/images/anime/7/75919.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/7/75919.jpg', 'path': 'full/4b7862bcaa742dd9c7f72eff2a80d351d267038e.jpg', 'checksum': 'b39f0f7984cbace0379c07194534d697', 'status': 'downloaded'}]",Action;Adventure;Fantasy,#47,8.69,,Mononoke Hime
https://cdn.myanimelist.net/images/anime/2/73862.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/2/73862.jpg', 'path': 'full/8e2ca6704e05edf56fc56ed71159206596848c62.jpg', 'checksum': 'e9923551d8efea31558f21bedbd75500', 'status': 'downloaded'}]",Adventure;Slice of Life;Mystery;Historical;Supernatural;Fantasy;Seinen,#49,8.68,Fall 2005,Mushishi
https://cdn.myanimelist.net/images/anime/3/67177.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/3/67177.jpg', 'path': 'full/7abb1a0295276f83913b0e9e11d549d2ac2b93e2.jpg', 'checksum': 'fdefcd2bf383e10a54292f319b6ef3a0', 'status': 'downloaded'}]",Music;Drama;Romance;School;Shounen,#48,8.69,Fall 2014,Shigatsu wa Kimi no Uso
https://cdn.myanimelist.net/images/anime/1502/110723.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1502/110723.jpg', 'path': 'full/7630b82264794bd39c2d3236f3298b72a2358103.jpg', 'checksum': 'bd64911e839ea7488676ff05f7a37fd6', 'status': 'downloaded'}]",Sci-Fi;Adventure;Mystery;Drama;Fantasy,#45,8.70,,Made in Abyss Movie 3: Fukaki Tamashii no Reimei
